"year","mean flow [cms]","site_no"
2008,373.537887819205,"05443500"
2009,332.03868569505,"05443500"
2010,319.321706361479,"05443500"
2011,235.702446936779,"05443500"
2012,144.167563811283,"05443500"
2013,241.087302570889,"05443500"
2014,198.35989671459,"05443500"
2015,169.957711904801,"05443500"
2016,254.846201527807,"05443500"
2017,330.444408454293,"05443500"
2018,286.197202542207,"05443500"
2019,437.868438124924,"05443500"
2020,363.291212592244,"05443500"
2021,177.719631025859,"05443500"
1976,153.610381022477,"05446500"
1977,79.474914402741,"05446500"
1978,199.165181277075,"05446500"
1979,250.599435538734,"05446500"
1980,170.291788797206,"05446500"
1981,180.028423759919,"05446500"
1982,243.759947385686,"05446500"
1983,258.926139979145,"05446500"
1984,195.277924138092,"05446500"
1985,223.686794428339,"05446500"
1986,292.755849643599,"05446500"
1987,221.505233551936,"05446500"
1988,175.471605366558,"05446500"
1989,112.624243950336,"05446500"
1990,169.298278496216,"05446500"
1991,179.916707982465,"05446500"
1992,180.109069222674,"05446500"
1993,412.249062299367,"05446500"
1994,197.4390173546,"05446500"
1995,196.094549005096,"05446500"
1996,273.514430654305,"05446500"
1997,219.394270840452,"05446500"
1998,228.750467202267,"05446500"
1999,269.801360592738,"05446500"
2000,225.187012851762,"05446500"
2001,225.458730787409,"05446500"
2002,226.821042629146,"05446500"
2003,113.03929909574,"05446500"
2004,218.233911804896,"05446500"
2005,150.906292828757,"05446500"
2006,146.085446709991,"05446500"
2007,269.077535451314,"05446500"
2008,390.070748203147,"05446500"
2009,360.347774023626,"05446500"
2010,369.526311267128,"05446500"
2011,257.260488769459,"05446500"
2012,159.720939837227,"05446500"
2013,270.801371961758,"05446500"
2014,218.351590250876,"05446500"
2015,191.398607331956,"05446500"
2016,287.112706385886,"05446500"
2017,372.340152411764,"05446500"
2018,309.608640155017,"05446500"
2019,487.04665432521,"05446500"
2020,389.225884918048,"05446500"
2021,197.652363457378,"05446500"
1979,27.6584215053048,"05447500"
1980,15.1788354432362,"05447500"
1981,21.0353050906737,"05447500"
1982,25.7532795977004,"05447500"
1983,25.2532739131905,"05447500"
1984,18.5155425245617,"05447500"
1985,19.2338338729391,"05447500"
1986,23.4776680011526,"05447500"
1987,21.1111787228616,"05447500"
1988,20.129796188658,"05447500"
1989,5.58214259387792,"05447500"
1990,27.7590432854149,"05447500"
1991,25.1772451202006,"05447500"
1992,17.0646909903305,"05447500"
1993,44.7085765568931,"05447500"
1994,18.1327119672828,"05447500"
1995,28.6017216011863,"05447500"
1996,21.7308585349788,"05447500"
1997,15.5755843695897,"05447500"
1998,25.7493229972489,"05447500"
1999,32.9926171375546,"05447500"
2000,17.1763336387185,"05447500"
2001,19.5496404113308,"05447500"
2002,22.3909450179238,"05447500"
2003,7.92601718527451,"05447500"
2004,14.3253068936754,"05447500"
2005,12.0781512794941,"05447500"
2006,5.73317611856434,"05447500"
2007,25.8824509653822,"05447500"
